seed,fold,encoder_route,input_variant,evaluation_set,auprc,auroc,brier,ece,calibration_intercept,calibration_slope,n_train,n_validation,events_train,events_validation,n_predictors,events_per_predictor
20260523,3,ctu_only,fhr_only,development_sensitivity,0.3020201649381753,0.6753393665158371,0.22567310807477603,0.21400165016281142,-1.2795091918658195,0.40638039711419155,258,128,53,26,15,3.533333333333333
20260523,3,ctu_only,uc_only,development_sensitivity,0.25363148244230677,0.5686274509803921,0.2539183055230926,0.26553040121716176,-1.3485260544569235,0.31508508330067,258,128,53,26,15,3.533333333333333
20260523,3,ctu_only,one_hz,development_sensitivity,0.29277117576456346,0.6478129713423831,0.23032669975240544,0.23088691167999997,-1.3082068323064404,0.35853283801547514,258,128,53,26,15,3.533333333333333
20260523,3,jnu_to_ctu,fhr_only,development_sensitivity,0.3154476101359868,0.6621417797888387,0.22532670577000347,0.24201544269851416,-1.3091348989694314,0.5249376006546235,258,128,53,26,15,3.533333333333333
20260523,3,jnu_to_ctu,uc_only,development_sensitivity,0.299052357222942,0.6142533936651584,0.24400630019261782,0.2646394793429938,-1.3509793657066527,0.46847276455883374,258,128,53,26,15,3.533333333333333
20260523,3,jnu_to_ctu,one_hz,development_sensitivity,0.30875318071432517,0.6711915535444948,0.22440341325058144,0.24599954196803225,-1.320929740675196,0.575636499566368,258,128,53,26,15,3.533333333333333
20260524,1,random,full,development_oof,0.3182774900226284,0.5925925925925926,0.23352456982643413,0.21047075511330218,-1.202667032090799,0.2772726903060061,257,129,52,27,15,3.466666666666667
20260524,1,jnu_only,full,development_oof,0.29461705812895533,0.6154684095860566,0.23091728327998684,0.2165243026542157,-1.2168158233126294,0.3038796026414009,257,129,52,27,15,3.466666666666667
20260524,1,jnu_asymmetric,full,development_oof,0.33604124465919427,0.597676107480029,0.22450996135003307,0.21396800383850195,-1.1854140561738322,0.33079394607396106,257,129,52,27,15,3.466666666666667
20260524,1,ctu_only,full,development_oof,0.32267814329336997,0.6187363834422658,0.23414459898440274,0.20842298597880146,-1.1998662371262356,0.317282330202703,257,129,52,27,15,3.466666666666667
20260524,1,jnu_to_ctu,full,development_oof,0.31874479811817036,0.6201888162672476,0.2336938273053185,0.20889200688271164,-1.2205341363935478,0.3143783615929398,257,129,52,27,15,3.466666666666667
