model,calibration,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit
signal_10,raw,0.1,0.11646586345381525,0.11646586345381525,0.0
signal_10,raw,0.11,0.10653851360498172,0.10653851360498172,0.0
signal_10,raw,0.12000000000000001,0.09638554216867468,0.09638554216867468,0.0
signal_10,raw,0.13,0.0859991690901537,0.0859991690901537,0.0
signal_10,raw,0.14,0.07537125245166712,0.07537125245166712,0.0
signal_10,raw,0.15000000000000002,0.06449326718639259,0.06449326718639259,0.0
signal_10,raw,0.16,0.05565117613310383,0.05335628227194489,0.0
signal_10,raw,0.16999999999999998,0.04332994629118889,0.041950936275221395,0.0
signal_10,raw,0.18,0.03482221569203647,0.03026741110784603,0.0
signal_10,raw,0.19,0.024988844265952714,0.018295403837572527,0.0
signal_10,raw,0.2,0.013554216867469882,0.00602409638554216,0.0
signal_10,raw,0.21000000000000002,0.0018301052310507604,-0.006557877077932012,0.0
signal_10,raw,0.22000000000000003,-0.005097312326228037,-0.019462465245597832,0.0
signal_10,raw,0.22999999999999998,-0.013534658112971332,-0.03270223752151463,0.0
signal_10,raw,0.24,-0.01807228915662648,-0.04629042485732404,0.0
signal_10,raw,0.25,-0.028112449799196776,-0.06024096385542166,0.0
signal_10,raw,0.26,-0.0403777271247151,-0.07456854444806255,0.0
signal_10,raw,0.27,-0.050090774055124604,-0.0892886614952963,0.0
signal_10,raw,0.28,-0.05555555555555555,-0.104417670682731,0.0
signal_10,raw,0.29,-0.06312574240624469,-0.11997284914305112,0.0
signal_10,raw,0.3,-0.07573149741824442,-0.13597246127366613,0.0
signal_10,raw,0.31,-0.08660729876025847,-0.1524358302776323,0.0
signal_10,raw,0.32,-0.093905031892275,-0.16938341601700924,0.0
signal_10,raw,0.33,-0.11301924114367926,-0.1868368998381587,0.0
signal_10,raw,0.33999999999999997,-0.12942679810149682,-0.20481927710843367,0.0
signal_10,raw,0.35,-0.13021316033364227,-0.2233549582947173,0.0
signal_10,raw,0.36,-0.1430722891566265,-0.2424698795180723,0.0
signal_10,raw,0.37,-0.14266590170204635,-0.2621916236374068,0.0
signal_10,raw,0.38,-0.14516129032258068,-0.28254955305091334,0.0
signal_10,raw,0.39,-0.1509974323523603,-0.30357495555994474,0.0
signal_10,raw,0.4,-0.15662650602409645,-0.32530120481927716,0.0
signal_10,raw,0.41,-0.17592403512354496,-0.3477639371043495,0.0
signal_10,raw,0.42,-0.1809306190278354,-0.3710012463647694,0.0
signal_10,raw,0.43,-0.18114563517226792,-0.39505389980976535,0.0
signal_10,raw,0.44,-0.18674698795180725,-0.41996557659208267,0.0
signal_10,raw,0.45,-0.20153340635268346,-0.4457831325301205,0.0
signal_10,raw,0.46,-0.21642124051762604,-0.4725568942436412,0.0
signal_10,raw,0.47,-0.18799727210729708,-0.5003409865878609,0.0
signal_10,raw,0.48,-0.20157553290083405,-0.5291936978683967,0.0
signal_10,raw,0.49,-0.21521379636191823,-0.5591778880226789,0.0
signal_10,raw,0.5,-0.22891566265060243,-0.5903614457831325,0.0
signal_10_plus_ssl_pca5,isotonic,0.05,0.16391883322764741,0.16296766011414077,0.0
signal_10_plus_ssl_pca5,isotonic,0.060000000000000005,0.15521661112535245,0.1540630607536529,0.0
signal_10_plus_ssl_pca5,isotonic,0.07,0.14632724446171783,0.14496696463272443,0.0
signal_10_plus_ssl_pca5,isotonic,0.08,0.13724463069669984,0.13567312729177577,0.0
signal_10_plus_ssl_pca5,isotonic,0.09,0.1279623990467364,0.12617502978948764,0.0
signal_10_plus_ssl_pca5,isotonic,0.1,0.1184738955823293,0.11646586345381525,0.0
signal_10_plus_ssl_pca5,isotonic,0.11,0.1102612697982943,0.10653851360498172,0.0
signal_10_plus_ssl_pca5,isotonic,0.12000000000000001,0.08433734939759036,0.09638554216867468,0.0
signal_10_plus_ssl_pca5,isotonic,0.13,0.05477080736740063,0.0859991690901537,0.0
